epoch,acc,loss,val_acc,val_loss
0,0.5077122695077425,1.371407953832509,0.9334494939967919,0.24378247073700293
1,0.9032470937298057,0.30083155153889496,0.9728514367181518,0.09994507771793408
2,0.9514222124532988,0.1525406448142354,0.9911191158780199,0.033569305658470903
3,0.9677747670845341,0.10217407324149755,0.9927772569700596,0.027543619853086548
4,0.9760410694904355,0.07616867052960301,0.9957843921292553,0.01472233139108121
5,0.9810632769116624,0.06175144583418893,0.9969928663986797,0.01043015387644526
6,0.984105507209182,0.05228541607820522,0.9953347272916746,0.015198569486520893
7,0.9855821461074484,0.04610041202925735,0.9981170284557782,0.007790084448578706
8,0.9869020139872504,0.041496638437424314,0.9984261730684678,0.006215524446355847
9,0.9887250930118213,0.03723647718267429,0.9983699649453438,0.005544555863925737
